"Provider","EventId","MarketId","SelectionId","MarketType","Handicap","BetType","EventName","MarketName","StartTime"
"sentrybot","35381459","1.255436971","364471","MATCH_ODDS","0","BACK","Waterford v St Patrick´s Athletic","Match Odds","2026-03-20 19:45:00"
"sentrybot","35381448","1.255436714","298592","ASIAN_HANDICAP","0","BACK","Derry City v Drogheda United","Asian Handicap","2026-03-20 19:45:00"
"sentrybot","35383943","1.255460786","10789913","ASIAN_HANDICAP","0","BACK","Llanelli Town v Cardiff Metropolitan University","Asian Handicap","2026-03-20 19:45:00"
"sentrybot","35391489","1.255548042","12065479","MATCH_ODDS","0","BACK","Obera Tenis Club v Independiente de Oliva","Moneyline","2026-03-21 00:00:00"
"sentrybot","35371833","1.255294265","5851482","FIRST_HALF_GOALS","0","BACK","Estrela da Amadora v Casa Pia","First Half Goals 0.5","2026-03-20 20:15:00"
"sentrybot","35390140","1.255539151","366629","MATCH_ODDS","0","BACK","Tennessee v Miami Ohio","Moneyline","2026-03-20 20:25:00"
"sentrybot","35384500","1.255567540","237492","ASIAN_HANDICAP","0","BACK","Denver Nuggets v Toronto Raptors","Handicap","2026-03-21 01:00:00"
"sentrybot","35381448","1.255436701","298592","MATCH_ODDS","0","BACK","Derry City v Drogheda United","Match Odds","2026-03-20 19:45:00"
"sentrybot","35369914","1.255261778","1193695","MATCH_ODDS","0","BACK","CFR Cluj v Rapid Bucuresti","Match Odds","2026-03-20 19:45:00"
"sentrybot","35369935","1.255545032","392220","MATCH_ODDS","0","BACK","Cobh Ramblers v Bray Wanderers","Match Odds","2026-03-20 19:45:00"
"sentrybot","35395576","1.255587931","1069686","MATCH_ODDS","0","BACK","Universidad de Chile v Deportes La Serena","Match Odds","2026-03-20 21:00:00"
"sentrybot","35374711","1.255329415","26776138","MATCH_ODDS","0","BACK","Asociacion Deportiva Tarma v FBC Melgar","Match Odds","2026-03-20 20:30:00"
"sentrybot","35390140","1.255539151","366629","MATCH_ODDS","0","BACK","Tennessee v Miami Ohio","Moneyline","2026-03-20 20:32:00"
"sentrybot","35387456","1.255505173","2224159","MATCH_ODDS","0","BACK","Daejeon Citizen v Jeonbuk Motors","Match Odds","2026-03-21 05:00:00"
"sentrybot","35351309","1.255291052","36700739","MATCH_ODDS","0","BACK","Auckland FC v Macarthur FC","Match Odds","2026-03-21 02:00:00"
"sentrybot","35383951","1.255461645","8349517","MATCH_ODDS","0","BACK","Paju Citizen v Jeonnam Dragons","Match Odds","2026-03-21 05:00:00"
"sentrybot","35351325","1.255291387","3862627","MATCH_ODDS","0","BACK","Brisbane Roar v Wellington Phoenix","Match Odds","2026-03-21 04:00:00"
"sentrybot","35380209","1.255550685","25600","ASIAN_HANDICAP","0","BACK","Toronto Maple Leafs v Carolina Hurricanes","Handicap","2026-03-20 23:00:00"
"sentrybot","35389890","1.255531366","9948447","MATCH_ODDS","0","BACK","Leones v Internacional de Palmira","Match Odds","2026-03-21 00:00:00"
"sentrybot","35384496","1.255569168","237493","MATCH_ODDS","0","BACK","Detroit Pistons v Golden State Warriors","Moneyline","2026-03-20 23:30:00"
"sentrybot","35375571","1.255337916","23228754","MATCH_ODDS","0","BACK","Henan Songshan Longmen v Wuhan Three Towns","Match Odds","2026-03-21 11:00:00"
